abandon,freedom from artificial constraint
velocity,"the relation of motion to time , measured by the number of units of space passed over by a moving body or point in a unit of time , usually the number of feet passed over in a second"
velvet,the soft and highly vascular deciduous skin which envelops and nourishes the antlers of deer during their rapid growth
veneration,"a feeling or sentiment excited by the dignity , wisdom , or superiority of a person , by sacredness of character , by consecration to sacred services , or by hallowed associations"
vengeance,retribution
vent,a hole or passage for air or any fluid to escape
venture,contingency
veranda,"an open , roofed gallery or portico , adjoining a dwelling house , forming an out - of - door sitting room"
verbal,a noun derived from a verb
verb,"a part of speech expressing being , action , or the suffering of action"
verdict,judgment
verdure,green
verge,"a rod or staff , carried as an emblem of authority"
verse,metrical arrangement and language
version,transformation
vessel,"a hollow receptacle of any kind , as a hogshead , a barrel , a firkin , a bottle , a kettle , a cup , a bowl , etc"
vest,array
veteran,"one who has had much experience , or has grown old or decrepit in service"
vexation,irritation
vicar,the incumbent of an appropriated benefice
vice,an error
vicinity,nearness
victim,"a person or thing destroyed or sacrificed in the pursuit of an object , or in gratification of a passion"
victor,one who gets the better of another in any struggle
victory,"the defeat of an enemy in battle , or of an antagonist in any contest"
view,survey
vigilance,forbearance of sleep
vigor,efficacy
villa,a country seat
village,"a small assemblage of houses in the country , less than a town or city"
villain,"a vile , wicked person"
vine,a creeper
vinegar,anything sour
violation,transgression
violence,ravishment
violet,"any plant or flower of the genus viola , of many species"
violin,"a small instrument with four strings , played with a bow"
virgin,a woman who has had no carnal knowledge of man
virtue,value
virus,any morbid corrupting quality in intellectual or moral conditions
vision,an object of sight
visit,visitation
vitality,animation
vivacity,the quality or state of being vivacious
vocabulary,"a dictionary or lexicon , either of a whole language , a single work or author , a branch of science , or the like"
vocal,a man who has a right to vote in certain elections
vocation,trade
voice,sound thus uttered considered as possessing some special quality or character
void,an empty space
volcano,"a mountain or hill , usually more or less conical in form , from which lava , cinders , steam , sulphur gases , and the like , are ejected"
volley,a burst or emission of many things at once
volume,mass
voluntary,"specifically , an organ solo played before , during , or after divine service"
volunteer,"a party , other than a wife or child of the grantor , to whom , or for whose benefit , a voluntary conveyance is made"
vote,suffrage
vow,"specifically , a promise of fidelity"
voyage,"but not chiefly limited to a passing by sea or water from one place , port , or country , to another"
wad,black ocher
wade,the act of wading
wage,hire
wager,a bet
wages,"the share of the annual product or national dividend which goes as a reward to labor , as distinct from the remuneration received by capital in its various forms"
wagon,a freight car on a railway
wail,violent lamentation
waistcoat,"a short , sleeveless coat or garment for men , worn under the coat , extending no lower than the hips , and covering the waist"
waist,"naut , that part of a vessel ' s deck , bulwarks , etc"
waiter,"a vessel or tray on which something is carried , as dishes , etc"
wait,the act of waiting
wake,the track left by a vessel in the water
walker,a pedestrian
walk,"the act of walking , or moving on the feet with a slow pace"
wall,a means of protection
wand,a verge
wanderer,one who wanders
want,a thing of which the loss is felt
wanton,one brought up without restraint
war,armed conflict of sovereign powers
ward,protector
wardrobe,"wearing apparel , in general"
ware,articles of merchandise
warfare,struggle
warm,a warming
warmth,passion
warning,previous notice
