abandon,freedom from artificial constraint
volley,the simultaneous discharge of a number of small arms
volume,that part of an extended work which is bound up together in one cover
voluntary,"specifically , an organ solo played before , during , or after divine service"
volunteer,one to whom a conveyance is made without valuable consideration
vote,suffrage
vow,a pledge of love or affection
voyage,"but not chiefly limited to a passing by sea or water from one place , port , or country , to another"
wad,"a soft mass , especially of some loose , fibrous substance , used for various purposes , as for stopping an aperture , padding a garment , etc"
wade,the act of wading
wager,the subject of a bet
wages,price paid for labor
wage,that for which one labors
wagon,"a vehicle on four wheels , and usually drawn by horses"
wail,loud weeping
waistcoat,"a short , sleeveless coat or garment for men , worn under the coat , extending no lower than the hips , and covering the waist"
waist,the small part of the body between the thorax and hips
wait,a halt
waiter,a salver
wake,"by extension , any track"
walker,a pedestrian
walk,the act of walking for recreation or exercise
wall,a kind of knot often used at the end of a rope
wand,a staff of authority
wanderer,a rambler
want,destitution
wanton,a lascivious man or woman
war,armed conflict of sovereign powers
ward,means of guarding
wardrobe,a portable closet for hanging up clothes
ware,the sum of articles of a particular kind or class
warfare,military service
warm,a heating
warmth,earnestness
warning,previous notice
warrant,an official certificate of appointment issued to an officer of lower rank than a commissioned officer
warrior,a champion
wash,a marsh
washing,a wash
waste,"the act of wasting , or the state of being wasted"
watch,guard
water,"the fluid which descends from the clouds in rain , and which forms rivers , lakes , seas , etc"
wave,water
wax,"a fatty , solid substance , produced by bees , and employed by them in the construction of their comb"
way,procession
weakness,want of resolution or of moral strength
wealth,"in the public sense , all objects , especially material objects , which have economic utility"
weapon,"a thorn , prickle , or sting with which many plants are furnished"
wear,diminution by friction
weariness,lassitude
wearing,use
weather,tempest
weaving,"an incessant motion of a horse ' s head , neck , and body , from side to side , fancied to resemble the motion of a hand weaver in throwing the shuttle"
web,that which is woven
wedding,marriage
weed,a mourning garment or badge
weekly,"a publication issued once in seven days , or appearing once a week"
weeping,lamentation with tears
weep,the wipe
weigh,an english measure of weight
weight,that property of bodies by which they tend toward the center of the earth
welcome,kind reception of a guest or newcomer
welfare,prosperity
well,a shaft made in the earth to obtain oil or brine
wench,a drab
west,the point in the heavens where the sun is seen to set at the equinox
westward,the western region or countries
wet,water or wetness
wharf,a pier
wheat,"a cereal grass and its grain , which furnishes a white flour for bread , and , next to rice , is the grain most largely used by the human race"
wheel,a circular frame turning about an axis
wherefore,the reason why
whim,a caprice
whip,"one of the arms or frames of a windmill , on which the sails are spread"
whirl,anything that moves with a whirling motion
whirlwind,a body of objects sweeping violently onward
whiskey,"same as whisky , a liquor"
whisper,a suggestion or insinuation
whistle,the shrill note of a bird
whit,an iota
whiteness,cleanness
white,"one of the natural colors of bodies , yet not strictly a color , but a composition of all colors"
whole,"all of a thing , without defect or exception"
wholesale,"sale of goods by the piece or large quantity , as distinguished from retail"
