abandon,careless freedom or ease
wage,pay
wager,a pledge
wages,price paid for labor
wail,violent lamentation
waist,"naut , that part of a vessel ' s deck , bulwarks , etc"
waist,the middle part of the ship
waist,the small part of the body between the thorax and hips
wait,a halt
wait,ambush
wait,the act of waiting
wake,a vigil
wake,"the sitting up of persons with a dead body , often attended with a degree of festivity , chiefly among the irish"
wake,the track left by a vessel in the water
walker,a forester
walker,one who walks
wall,a defense
wall,a means of protection
wall,a wale
wall,"in the plural , fortifications , in general"
wall,works for defense
wand,a staff of authority
want,a thing of which the loss is felt
wanton,a lascivious man or woman
wanton,"a roving , frolicsome thing"
want,penury
ward,confinement under guard
ward,custody
ward,defense
ward,guard
ward,"specifically , a guarding during the day"
ward,watch
warm,a warming
warrior,a soldier
wash,a fen
washing,"the clothes washed , especially at one time"
waste,a deserted region
waste,"gradual loss or decrease , by use , wear , or decay"
waste,needless destruction
waste,refuse
waste,that which is of no value
watch,"wakeful , vigilant , or constantly observant attention"
water,the urine
wax,"a fatty , solid substance , produced by bees , and employed by them in the construction of their comb"
way,distance
way,opportunity or room to pass
way,procession
weakness,a defect
weakness,feebleness
wealth,a comparative abundance of things which are objects of human desire
weariness,lassitude
wearing,conduct
wearing,use
wear,style of dress
wear,the result of wearing or use
weather,alternation of the state of the air
weather,meteorological change
weather,storm
weather,vicissitude of season
web,a whole piece of linen cloth as woven
web,something woven in a loom
web,the texture of very fine thread spun by a spider for catching insects at its prey
weed,a garment
weed,clothing
weeping,shedding of tears
weeping,the act of one who weeps
weigh,an english measure of weight
weight,burden
weight,the quantity of heaviness
welfare,happiness
well,a fountain
well,a shaft made in the earth to obtain oil or brine
wench,a drab
wharf,a pier
wharf,a quay
wheel,an instrument of torture formerly used
wheel,"a rotating disk , whether solid , or a frame composed of an outer rim , spokes or radii , and a central hub or nave , in which is inserted the axle , -- used for supporting and conveying vehicles , in machinery , and for various purposes"
whim,a sudden turn or start of the mind
whip,a coachman
whirl,a turning with rapidity or velocity
whirlwind,a vortex of air
whiskey,"same as whisky , a liquor"
whisper,a cautious or timorous speech
whistle,"the shrill noise ( much used as a signal , etc"
whiteness,"as from terror , grief , etc"
whole,"all of a thing , without defect or exception"
whole,a system
wholesale,"sale of goods by the piece or large quantity , as distinguished from retail"
wickedness,immorality
wickedness,sin
wickedness,the quality or state of being wicked
wild,a wilderness
wilderness,a desert
wilderness,a disorderly or neglected place
willingness,free choice or consent of the will
wind,a bend
wind,air naturally in motion with any degree of velocity
wind,a winding
wind,"breath modulated by the respiratory and vocal organs , or by an instrument"
winding,a turn or turning
winding,flexure
wine,intoxication
winter,the season of the year in which the sun shines most obliquely upon any region
wire,"a metallic substance formed to an even thread by being passed between grooved rollers , or drawn through holes in a plate of steel"
wisdom,acquired knowledge
wisdom,sagacity
wisdom,skill
wisdom,the quality of being wise
wish,an object of desire
wish,petition
witch,an ugly old woman
witchcraft,intercourse with evil spirits
witchcraft,power more than natural
wolf,starvation
wolf,want
woman,"a grown - up female person , as distinguished from a man or a child"
womanhood,"the distinguishing character or qualities of a woman , or of womankind"
womanhood,womankind
womb,the place where anything is generated or produced
wonder,admiration
wonder,a miracle
wonder,a prodigy
wonder,surprise
wood,"the fibrous material which makes up the greater part of the stems and branches of trees and shrubby plants , and is found to a less extent in herbaceous stems"
