abandon,freedom from artificial constraint
warmth,enthusiasm
warmth,passion
warmth,the quality or state of being warm
warrant,an official certificate of appointment issued to an officer of lower rank than a commissioned officer
warrior,"a man engaged or experienced in war , or in the military life"
wash,a bog
wash,an ablution
wash,a quantity as of clothes washed at once
waste,"gradual loss or decrease , by use , wear , or decay"
waste,loss without equivalent gain
waste,"the act of wasting , or the state of being wasted"
watch,guard
watch,preservative or preventive vigilance
wave,an undulation
wave,water
way,distance
way,interval
way,journey
way,opportunity or room to pass
way,procession
weakness,the quality or state of being weak
weakness,want of resolution or of moral strength
wealth,"in the public sense , all objects , especially material objects , which have economic utility"
weapon,"anything used , or designed to be used , in destroying , defeating , or injuring an enemy , as a gun , a sword , etc"
wear,diminution by friction
wearing,consumption
wear,same as weir
wear,style of dress
wear,the fashion
wear,the thing worn
weather,storm
weather,vicissitude of season
web,a texture
web,a whole piece of linen cloth as woven
weed,anything useless
weed,clothing
weekly,"a publication issued once in seven days , or appearing once a week"
weigh,a certain quantity estimated by weight
weight,burden
weight,the quantity of heaviness
wench,"a low , vicious young woman"
west,"that one of the four cardinal points of the compass which is in a direction at right angles to that of north and south , and on the left hand of a person facing north"
wet,a drink
wharf,"a structure or platform of timber , masonry , iron , earth , or other material , built on the shore of a harbor , river , canal , or the like , and usually extending from the shore to deep water , so that vessels may lie close alongside to receive and discharge cargo , passengers , etc"
wherefore,the reason why
whim,a fancy
whim,a sudden turn or start of the mind
whip,a driver of a carriage
whirl,rapid or confusing motion
whirlwind,a body of objects sweeping violently onward
whistle,"a sharp , shrill , more or less musical sound , made by forcing the breath through a small orifice of the lips , or through or instrument which gives a similar sound"
whistle,"the shrill noise ( much used as a signal , etc"
whiteness,freedom from stain or blemish
white,"one of the natural colors of bodies , yet not strictly a color , but a composition of all colors"
white,the color of pure snow
whole,a system
whole,a thing complete in itself
whole,the entire assemblage of parts
wickedness,depravity
width,breadth
wig,an old seal
wilderness,a disorderly or neglected place
wilderness,a waste
wind,a twist
winding,a call by the boatswain ' s whistle
wing,"one of the two anterior limbs of a bird , pterodactyl , or bat"
wink,"the act of closing , or closing and opening , the eyelids quickly"
winning,a new opening
winning,"the act of obtaining something , as in a contest or by competition"
wipe,a blow
wipe,a severe sarcasm
wisdom,acquired knowledge
wisdom,knowledge of the best ends and the best means
wisdom,the results of wise judgments
wish,desire
wish,eager desire
wit,"a mental faculty , or power of the mind"
witch,an ugly old woman
witness,attestation of a fact or an event
wit,understanding
woe,a curse
woman,a female attendant or servant
woman,"a grown - up female person , as distinguished from a man or a child"
woman,an adult female person
womanhood,the state of being a woman
womanhood,"women , collectively"
wonder,amazement
wonder,a miracle
wonder,astonishment
wood,a forest or grove
work,anything accomplished by exertion or toil
worker,"one of the neuter , or sterile , individuals of the social ants , bees , and white ants"
work,exertion of strength or faculties
workman,a worker
work,subject of exertion
work,that which is produced as the result of labor
work,toil
world,"the earth and its inhabitants , with their concerns"
world,the universe
worse,loss
worship,adoration
worship,"adoration , or acts of reverence , paid to god , or a being viewed as god"
worship,extravagant admiration
worship,obsequious or submissive respect
wound,"specifically , a breach of the skin and flesh of an animal , or in the substance of any creature or living thing"
wreck,"the destruction or injury of a vessel by being cast on shore , or on rocks , or by being disabled or sunk by the force of winds or waves"
