abandon,freedom from artificial constraint
view,examination by the eye
vigilance,watchfulness in respect of danger
vigor,force
villa,a country seat
village,"a small assemblage of houses in the country , less than a town or city"
villain,"a feudal tenant of the lowest class , a bondman or servant"
vine,any woody climbing plant which bears grapes
vinegar,anything sour
violation,profanation or contemptuous treatment of sacred things
violence,outrage
violet,a bluish purple color
violin,"a small instrument with four strings , played with a bow"
virgin,a woman who has had no carnal knowledge of man
virtue,excellence
virus,any morbid corrupting quality in intellectual or moral conditions
vision,actual sight
visit,an official or formal inspection
vitality,the principle of life
vivacity,sprightliness
vocabulary,a sum or stock of words employed
vocal,a vowel or a diphthong
vocation,business
voice,the tone or sound emitted by anything
void,a vacuum
volcano,"a mountain or hill , usually more or less conical in form , from which lava , cinders , steam , sulphur gases , and the like , are ejected"
volley,a return of the ball before it touches the ground
volume,compass
voluntary,"specifically , an organ solo played before , during , or after divine service"
volunteer,"one who enters into service voluntarily , but who , when in service , is subject to discipline and regulations like other soldiers"
vote,suffrage
vow,a devotion of one ' s possessions
voyage,"but not chiefly limited to a passing by sea or water from one place , port , or country , to another"
wade,the act of wading
wad,to diminish or avoid the effects of windage
wage,hire
wager,a stake
wages,"the share of the annual product or national dividend which goes as a reward to labor , as distinct from the remuneration received by capital in its various forms"
wagon,one used for carrying freight or merchandise
wail,wailing
waistcoat,"a short , sleeveless coat or garment for men , worn under the coat , extending no lower than the hips , and covering the waist"
waist,"naut , that part of a vessel ' s deck , bulwarks , etc"
waiter,"a vessel or tray on which something is carried , as dishes , etc"
wait,the act of waiting
wake,"by extension , any track"
walker,a pedestrian
walk,manner of walking
wall,a rampart
wand,a staff of authority
wanderer,a rambler
wanton,a trifler
want,the condition of being without anything
ward,custody
war,declared and open hostilities
wardrobe,"wearing apparel , in general"
ware,the sum of articles of a particular kind or class
warfare,contest
warmth,a state of lively and excited interest
warm,"the act of warming , or the state of being warmed"
warning,admonition
warrant,"a precept issued by a magistrate authorizing an officer to make an arrest , a seizure , or a search , or do other acts incident to the administration of justice"
warrior,"a man engaged or experienced in war , or in the military life"
wash,a marsh
washing,ablution
waste,refuse
watch,the act of watching
water,the urine
wave,"an advancing ridge or swell on the surface of a liquid , as of the sea , resulting from the oscillatory motion of the particles composing it when disturbed by any force their position of rest"
wax,"a fatty , solid substance , produced by bees , and employed by them in the construction of their comb"
way,a moving
weakness,want of resolution or of moral strength
wealth,riches
weapon,an instrument of offensive of defensive combat
weariness,lassitude
wearing,the act of one who wears
wear,the thing worn
weather,vicissitude of season
weaving,"an incessant motion of a horse ' s head , neck , and body , from side to side , fancied to resemble the motion of a hand weaver in throwing the shuttle"
web,that which is woven
wedding,marriage
weed,a garment
weekly,"a publication issued once in seven days , or appearing once a week"
weeping,shedding of tears
weep,the wipe
weigh,a certain quantity estimated by weight
weight,"the quantity of matter as estimated by the balance , or expressed numerically with reference to some standard unit"
welcome,salutation to a newcomer
welfare,happiness
well,an issue of water from the earth
wench,"a low , vicious young woman"
west,the point directly opposite to east
westward,the western region or countries
wet,water or wetness
wharf,a pier
wheat,"a cereal grass and its grain , which furnishes a white flour for bread , and , next to rice , is the grain most largely used by the human race"
wheel,an instrument of torture formerly used
